condado;estado;tasa_mortalidad;mediana_edad;mediana_edad_cat;mediana_ingresos;pct_pobreza;pct_salud_publica;pct_sec_incompleta;pct_desempleo
Belknap County;New Hampshire;182,6;46,1;45+ años;59831;10;16,8;15,4;5,3
Carroll County;New Hampshire;168,8;50,3;45+ años;57556;10,7;13,4;14,8;5,8
Cheshire County;New Hampshire;162,8;42;36-39 años;56008;11,8;12,7;6,1;6,1
Coos County;New Hampshire;181,6;48,1;45+ años;42491;14,9;22,5;13,2;6,9
Grafton County;New Hampshire;155;41,9;36-39 años;56353;11,6;14;6,6;5
Hillsborough County;New Hampshire;163,2;40,1;36-39 años;71233;8,7;12,7;12,9;5,9
Merrimack County;New Hampshire;173,1;42,6;40-45 años;62429;9,5;13,1;10,9;5,2
Rockingham County;New Hampshire;172,2;43,5;40-45 años;79653;6,1;9;13,5;5,6
Strafford County;New Hampshire;177,6;37,2;23-35 años;58577;11,8;12,4;6,1;6,5
Sullivan County;New Hampshire;171,9;45,1;45+ años;57142;10,4;15,6;17,4;5,8
Atlantic County;New Jersey;179,5;40,6;36-39 años;54208;15,1;17,7;12,3;12,5
Bergen County;New Jersey;147,3;41,5;36-39 años;84309;7,6;11,8;10,1;6,5
Burlington County;New Jersey;171,6;41;36-39 años;80479;7,2;10,6;11,3;8,5
Camden County;New Jersey;182,8;38,3;23-35 años;61685;13;18,6;13,1;10,2
Cape May County;New Jersey;193,1;48,3;45+ años;55409;13;16,8;14,3;10
Cumberland County;New Jersey;189,6;36,9;23-35 años;45438;19,5;24;17,6;11,1
Essex County;New Jersey;161,8;36,9;23-35 años;54603;16,7;21,1;13,7;13
Gloucester County;New Jersey;193,5;39,6;23-35 años;78983;8,2;12,8;10,6;9,2
Hudson County;New Jersey;152,6;34,7;23-35 años;57720;17,7;21,3;12,8;9,3
Hunterdon County;New Jersey;145,1;45;45+ años;103876;4,7;7,1;16,6;5,9
Mercer County;New Jersey;160,3;38,4;23-35 años;73750;11,8;14,5;12,1;9,4
Middlesex County;New Jersey;156,7;37,7;23-35 años;77330;8,3;12,1;9;7,5
Monmouth County;New Jersey;168,6;42,3;40-45 años;87220;8,2;10,7;10,9;7,9
Morris County;New Jersey;150,3;42;36-39 años;100511;5;7,5;12,2;6,3
Ocean County;New Jersey;174,2;42,8;40-45 años;62937;11,9;19;13;8,8
Passaic County;New Jersey;159,1;36,5;23-35 años;58030;18,2;25;13,1;8,6
Salem County;New Jersey;194,8;41,8;36-39 años;56645;13,1;18,7;15,6;10,6
Somerset County;New Jersey;153,3;40,8;36-39 años;100194;5;8,6;13,5;6
Sussex County;New Jersey;176,4;43,4;40-45 años;82048;6,2;9,8;12,2;8,2
Union County;New Jersey;155,6;38,1;23-35 años;68172;11,1;17,1;15,3;9,8
Warren County;New Jersey;175,1;42,6;40-45 años;71294;8,3;12,4;14,6;9
Albany County;New York;176,1;37,9;23-35 años;60371;13,5;14,2;7,2;6,4
Allegany County;New York;177,2;38,3;23-35 años;42655;18,3;20,2;7,2;9,2
Bronx County;New York;162;33,2;23-35 años;33687;31,5;38,2;24,2;14
Broome County;New York;163,6;39,9;23-35 años;46283;17,2;21,2;9,7;7,8
Cattaraugus County;New York;167,9;41,4;36-39 años;43892;16,2;18,7;18,3;8,2
Cayuga County;New York;158,6;42,5;40-45 años;52792;12,7;17,9;19,4;7,3
Chautauqua County;New York;173,2;41,7;36-39 años;41757;19,3;22,4;13,8;7,8
Chemung County;New York;183,8;40,9;36-39 años;48880;18,2;21,4;14,1;5,4
Chenango County;New York;180,3;43,8;40-45 años;46387;16,7;20,8;16,6;7,1
Clinton County;New York;182,1;39,4;23-35 años;51576;16,6;18,2;12;6,9
Columbia County;New York;171,5;46,6;45+ años;55047;11,6;17,5;16,9;6,7
Cortland County;New York;181,4;36,1;23-35 años;48357;13,8;15,4;3,5;6,1
Delaware County;New York;160,7;46,4;45+ años;45860;14,4;20,7;8,8;9,5
Dutchess County;New York;164,8;41,2;36-39 años;70925;10,2;13,9;10,5;8,7
Erie County;New York;183,3;40,4;36-39 años;50134;15,2;19,7;10,5;7
Essex County;New York;164,5;45,9;45+ años;50182;12;17,4;17,8;7,9
Franklin County;New York;180,9;39,8;23-35 años;45704;18,5;21,6;23,6;8,8
Fulton County;New York;183,4;42,8;40-45 años;45409;17,8;22,9;24,5;9,3
Genesee County;New York;181,6;42,7;40-45 años;52410;12;16,6;13,1;6,7
Greene County;New York;187,3;45,2;45+ años;52597;11,1;17,9;24,8;9,1
Hamilton County;New York;194,2;51,9;45+ años;49137;11,4;13,6;13,5;9,7
Herkimer County;New York;150,9;42,9;40-45 años;44148;16,5;22,5;13,3;8,7
Jefferson County;New York;177;31,8;23-35 años;49781;15,1;19,8;8,1;10,6
Kings County;New York;153,8;34,4;23-35 años;47547;23,4;31,8;15,5;10
Lewis County;New York;173,6;41,4;36-39 años;47542;14,3;19,4;18,5;8,3
Livingston County;New York;172;40,1;36-39 años;49920;14,7;15,8;6,5;5,4
Madison County;New York;174,2;40,8;36-39 años;51600;11,8;17,2;7,1;5,1
Monroe County;New York;169,5;38,5;23-35 años;51371;14,2;18,5;11,8;7,7
Montgomery County;New York;170,1;41;36-39 años;40923;18,9;26,2;19,1;8,9
Nassau County;New York;145,8;41,3;36-39 años;98312;6,7;11,3;8,7;6,4
New York County;New York;145,2;36,6;23-35 años;75459;17,7;19,7;10,5;7,5
Niagara County;New York;177,1;42,6;40-45 años;49274;13,4;16;9,8;7,6
Oneida County;New York;173,9;41,2;36-39 años;48350;17,7;23,7;13,2;7,4
Onondaga County;New York;180,4;38,8;23-35 años;52892;16,1;17,7;10,9;7,2
Ontario County;New York;162,9;43,1;40-45 años;58473;11,5;15,5;9,2;6,4
Orange County;New York;173,6;36,8;23-35 años;69228;13,4;17,9;13,2;7,3
Orleans County;New York;184,2;42,2;36-39 años;46577;15,5;20,5;23,3;9
Androscoggin County;Maine;188;40,6;36-39 años;46701;15,4;20,8;13,4;7,2
Aroostook County;Maine;188,2;46,6;45+ años;36066;20,1;24,2;12,8;7,5
Cumberland County;Maine;173,3;41,9;36-39 años;61436;10,8;14,6;10;5,4
Franklin County;Maine;167,5;44,9;45+ años;41035;15,8;21,1;10,2;7,7
Hancock County;Maine;165,4;47,4;45+ años;45807;12,9;18,1;7,8;7,7
Kennebec County;Maine;193,2;44;40-45 años;45556;13,8;18,9;10,5;7,7
Knox County;Maine;169,4;47,2;45+ años;50002;13,9;18,6;16,6;5,7
Lincoln County;Maine;170,6;49,8;45+ años;47905;11,7;18,2;20,9;4,2
Oxford County;Maine;189;45,7;45+ años;40120;16,1;23,8;19;9,2
Penobscot County;Maine;187,5;41,3;36-39 años;42728;18;20,7;10,2;7,8
Piscataquis County;Maine;194;49,8;45+ años;36994;20,3;25,8;16;10,5
Sagadahoc County;Maine;173,6;45,2;45+ años;55630;10,5;19;11,5;5,7
Somerset County;Maine;200,2;44,9;45+ años;39001;17,3;25,4;16,4;9,5
Waldo County;Maine;180,1;45;45+ años;46598;15;21,5;11,6;7,5
Washington County;Maine;216,7;46,8;45+ años;38057;18,5;29,4;17,2;9,8
