provincia	departamento	periodo	semana_epi	grupo_edad_cat	casos
Buenos Aires	BAHIA BLANCA	2024	1	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	1	10-19 años	0
Buenos Aires	BAHIA BLANCA	2024	1	20-34 años	0
Buenos Aires	BAHIA BLANCA	2024	1	35-65 años	1
Buenos Aires	BAHIA BLANCA	2024	1	65+ años	0
Buenos Aires	BAHIA BLANCA	2024	2	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	2	10-19 años	0
Buenos Aires	BAHIA BLANCA	2024	2	20-34 años	0
Buenos Aires	BAHIA BLANCA	2024	2	35-65 años	0
Buenos Aires	BAHIA BLANCA	2024	2	65+ años	0
Buenos Aires	BAHIA BLANCA	2024	3	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	3	10-19 años	0
Buenos Aires	BAHIA BLANCA	2024	3	20-34 años	0
Buenos Aires	BAHIA BLANCA	2024	3	35-65 años	0
Buenos Aires	BAHIA BLANCA	2024	3	65+ años	0
Buenos Aires	BAHIA BLANCA	2024	4	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	4	10-19 años	0
Buenos Aires	BAHIA BLANCA	2024	4	20-34 años	1
Buenos Aires	BAHIA BLANCA	2024	4	35-65 años	0
Buenos Aires	BAHIA BLANCA	2024	4	65+ años	1
Buenos Aires	BAHIA BLANCA	2024	5	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	5	10-19 años	0
Buenos Aires	BAHIA BLANCA	2024	5	20-34 años	1
Buenos Aires	BAHIA BLANCA	2024	5	35-65 años	0
Buenos Aires	BAHIA BLANCA	2024	5	65+ años	0
Buenos Aires	BAHIA BLANCA	2024	6	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	6	10-19 años	0
Buenos Aires	BAHIA BLANCA	2024	6	20-34 años	0
Buenos Aires	BAHIA BLANCA	2024	6	35-65 años	1
Buenos Aires	BAHIA BLANCA	2024	6	35-65 años	3
Buenos Aires	BAHIA BLANCA	2024	6	65+ años	0
Buenos Aires	BAHIA BLANCA	2024	7	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	7	10-19 años	0
Buenos Aires	BAHIA BLANCA	2024	7	20-34 años	3
Buenos Aires	BAHIA BLANCA	2024	7	35-65 años	1
Buenos Aires	BAHIA BLANCA	2024	7	65+ años	0
Buenos Aires	BAHIA BLANCA	2024	8	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	8	10-19 años	2
Buenos Aires	BAHIA BLANCA	2024	8	20-34 años	2
Buenos Aires	BAHIA BLANCA	2024	8	20-34 años	2
Buenos Aires	BAHIA BLANCA	2024	8	35-65 años	1
Buenos Aires	BAHIA BLANCA	2024	8	65+ años	0
Buenos Aires	BAHIA BLANCA	2024	9	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	9	10-19 años	0
Buenos Aires	BAHIA BLANCA	2024	9	20-34 años	1
Buenos Aires	BAHIA BLANCA	2024	9	35-65 años	4
Buenos Aires	BAHIA BLANCA	2024	9	65+ años	0
Buenos Aires	BAHIA BLANCA	2024	10	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	10	10-19 años	0
Buenos Aires	BAHIA BLANCA	2024	10	20-34 años	2
Buenos Aires	BAHIA BLANCA	2024	10	20-34 años	1
Buenos Aires	BAHIA BLANCA	2024	10	35-65 años	3
Buenos Aires	BAHIA BLANCA	2024	10	35-65 años	3
Buenos Aires	BAHIA BLANCA	2024	10	65+ años	2
Buenos Aires	BAHIA BLANCA	2024	11	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	11	10-19 años	0
Buenos Aires	BAHIA BLANCA	2024	11	20-34 años	1
Buenos Aires	BAHIA BLANCA	2024	11	35-65 años	3
Buenos Aires	BAHIA BLANCA	2024	11	35-65 años	1
Buenos Aires	BAHIA BLANCA	2024	11	65+ años	0
Buenos Aires	BAHIA BLANCA	2024	12	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	12	10-19 años	1
Buenos Aires	BAHIA BLANCA	2024	12	10-19 años	4
Buenos Aires	BAHIA BLANCA	2024	12	20-34 años	7
Buenos Aires	BAHIA BLANCA	2024	12	20-34 años	5
Buenos Aires	BAHIA BLANCA	2024	12	35-65 años	5
Buenos Aires	BAHIA BLANCA	2024	12	35-65 años	4
Buenos Aires	BAHIA BLANCA	2024	12	65+ años	1
Buenos Aires	BAHIA BLANCA	2024	13	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	13	10-19 años	2
Buenos Aires	BAHIA BLANCA	2024	13	10-19 años	1
Buenos Aires	BAHIA BLANCA	2024	13	20-34 años	3
Buenos Aires	BAHIA BLANCA	2024	13	35-65 años	4
Buenos Aires	BAHIA BLANCA	2024	13	35-65 años	3
Buenos Aires	BAHIA BLANCA	2024	13	65+ años	0
Buenos Aires	BAHIA BLANCA	2024	14	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	14	10-19 años	2
Buenos Aires	BAHIA BLANCA	2024	14	20-34 años	2
Buenos Aires	BAHIA BLANCA	2024	14	20-34 años	2
Buenos Aires	BAHIA BLANCA	2024	14	35-65 años	4
Buenos Aires	BAHIA BLANCA	2024	14	35-65 años	5
Buenos Aires	BAHIA BLANCA	2024	14	65+ años	1
Buenos Aires	BAHIA BLANCA	2024	15	0-9 años	0
Buenos Aires	BAHIA BLANCA	2024	15	10-19 años	1
Buenos Aires	BAHIA BLANCA	2024	15	20-34 años	4
Buenos Aires	BAHIA BLANCA	2024	15	35-65 años	1
