Population;Income;Illiteracy;Life.Exp;Murder;HS.Grad;Frost;Area;state
3615;3624;2,1;6905;151;413;20;50708;Alabama
365;6315;1,5;6931;113;667;152;566432;Alaska
2212;4530;1,8;7055;78;581;15;113417;Arizona
2110;3378;1,9;7066;101;399;65;51945;Arkansas
21198;5114;1,1;7171;103;626;20;156361;California
2541;4884;0,7;7206;68;639;166;103766;Colorado
3100;5348;1,1;7248;31;560;139;4862;Connecticut
579;4809;0,9;7006;62;546;103;1982;Delaware
8277;4815;1,3;7066;107;526;11;54090;Florida
4931;4091;2,0;6854;139;406;60;58073;Georgia
868;4963;1,9;7360;62;619;0;6425;Hawaii
813;4119;0,6;7187;53;595;126;82677;Idaho
11197;5107;0,9;7014;103;526;127;55748;Illinois
5313;4458;0,7;7088;71;529;122;36097;Indiana
2861;4628;0,5;7256;23;590;140;55941;Iowa
2280;4669;0,6;7258;45;599;114;81787;Kansas
3387;3712;1,6;7010;106;385;95;39650;Kentucky
3806;3545;2,8;6876;132;422;12;44930;Louisiana
1058;3694;0,7;7039;27;547;161;30920;Maine
4122;5299;0,9;7022;85;523;101;9891;Maryland
5814;4755;1,1;7183;33;585;103;7826;Massachusetts
9111;4751;0,9;7063;111;528;125;56817;Michigan
3921;4675;0,6;7296;23;576;160;79289;Minnesota
2341;3098;2,4;6809;125;410;50;47296;Mississippi
4767;4254;0,8;7069;93;488;108;68995;Missouri
746;4347;0,6;7056;50;592;155;145587;Montana
1544;4508;0,6;7260;29;593;139;76483;Nebraska
590;5149;0,5;6903;115;652;188;109889;Nevada
812;4281;0,7;7123;33;576;174;9027;New Hampshire
7333;5237;1,1;7093;52;525;115;7521;New Jersey
1144;3601;2,2;7032;97;552;120;121412;New Mexico
18076;4903;1,4;7055;109;527;82;47831;New York
5441;3875;1,8;6921;111;385;80;48798;North Carolina
637;5087;0,8;7278;14;503;186;69273;North Dakota
10735;4561;0,8;7082;74;532;124;40975;Ohio
2715;3983;1,1;7142;64;516;82;68782;Oklahoma
2284;4660;0,6;7213;42;600;44;96184;Oregon
11860;4449;1,0;7043;61;502;126;44966;Pennsylvania
931;4558;1,3;7190;24;464;127;1049;Rhode Island
2816;3635;2,3;6796;116;378;65;30225;South Carolina
681;4167;0,5;7208;17;533;172;75955;South Dakota
4173;3821;1,7;7011;110;418;70;41328;Tennessee
12237;4188;2,2;7090;122;474;35;262134;Texas
1203;4022;0,6;7290;45;673;137;82096;Utah
472;3907;0,6;7164;55;571;168;9267;Vermont
4981;4701;1,4;7008;95;478;85;39780;Virginia
3559;4864;0,6;7172;43;635;32;66570;Washington
1799;3617;1,4;6948;67;416;100;24070;West Virginia
4589;4468;0,7;7248;30;545;149;54464;Wisconsin
376;4566;0,6;7029;69;629;173;97203;Wyoming
