muertes;persona_anio;grupo_edad;periodo;comienzo;arsenico
2;30753;40-49;1938-1949;1925 y post;<1 año
0;4858;40-49;1938-1949;1925 y post;1-4 años
0;4782;40-49;1938-1949;1925 y post;5-14 años
0;3373;40-49;1938-1949;1925 y post;15+ años
2;39816;40-49;1938-1949;< 1925;<1 año
1;6561;40-49;1938-1949;< 1925;1-4 años
0;1903;40-49;1938-1949;< 1925;5-14 años
0;125;40-49;1938-1949;< 1925;15+ años
0;9368;40-49;1950-1959;1925 y post;<1 año
1;1946;40-49;1950-1959;1925 y post;1-4 años
1;1649;40-49;1950-1959;1925 y post;5-14 años
0;1210;40-49;1950-1959;1925 y post;15+ años
2;107407;40-49;1950-1959;< 1925;<1 año
1;16968;40-49;1950-1959;< 1925;1-4 años
0;8705;40-49;1950-1959;< 1925;5-14 años
0;2240;40-49;1950-1959;< 1925;15+ años
7;124513;40-49;1960-1969;< 1925;<1 año
0;25120;40-49;1960-1969;< 1925;1-4 años
0;8683;40-49;1960-1969;< 1925;5-14 años
0;2918;40-49;1960-1969;< 1925;15+ años
1;71510;40-49;1970-1977;< 1925;<1 año
3;13416;40-49;1970-1977;< 1925;1-4 años
0;4198;40-49;1970-1977;< 1925;5-14 años
0;1606;40-49;1970-1977;< 1925;15+ años
2;28498;50-59;1938-1949;1925 y post;<1 año
0;3905;50-59;1938-1949;1925 y post;1-4 años
1;3330;50-59;1938-1949;1925 y post;5-14 años
4;6267;50-59;1938-1949;1925 y post;15+ años
4;19129;50-59;1938-1949;< 1925;<1 año
0;2027;50-59;1938-1949;< 1925;1-4 años
0;905;50-59;1938-1949;< 1925;5-14 años
0;150;50-59;1938-1949;< 1925;15+ años
3;21956;50-59;1950-1959;1925 y post;<1 año
2;3462;50-59;1950-1959;1925 y post;1-4 años
1;2878;50-59;1950-1959;1925 y post;5-14 años
3;3495;50-59;1950-1959;1925 y post;15+ años
5;56245;50-59;1950-1959;< 1925;<1 año
7;9335;50-59;1950-1959;< 1925;1-4 años
1;4109;50-59;1950-1959;< 1925;5-14 años
2;754;50-59;1950-1959;< 1925;15+ años
3;7478;50-59;1960-1969;1925 y post;<1 año
0;1421;50-59;1960-1969;1925 y post;1-4 años
1;1275;50-59;1960-1969;1925 y post;5-14 años
1;1423;50-59;1960-1969;1925 y post;15+ años
13;91940;50-59;1960-1969;< 1925;<1 año
5;19194;50-59;1960-1969;< 1925;1-4 años
2;9024;50-59;1960-1969;< 1925;5-14 años
3;4872;50-59;1960-1969;< 1925;15+ años
8;84945;50-59;1970-1977;< 1925;<1 año
6;18964;50-59;1970-1977;< 1925;1-4 años
3;6880;50-59;1970-1977;< 1925;5-14 años
0;4251;50-59;1970-1977;< 1925;15+ años
2;20854;60-69;1938-1949;1925 y post;<1 año
1;1945;60-69;1938-1949;1925 y post;1-4 años
1;2918;60-69;1938-1949;1925 y post;5-14 años
9;6721;60-69;1938-1949;1925 y post;15+ años
1;6577;60-69;1938-1949;< 1925;<1 año
0;707;60-69;1938-1949;< 1925;1-4 años
0;334;60-69;1938-1949;< 1925;5-14 años
7;16759;60-69;1950-1959;1925 y post;<1 año
2;2254;60-69;1950-1959;1925 y post;1-4 años
1;2097;60-69;1950-1959;1925 y post;5-14 años
